# Name kernel mem DtoH HtoD API
#gsRelax 46.015 0.0 28.499 25.487 0.0
#SubGpuAllCpu_r 28.57 0.0 37.558 33.871 0.0
backprop 31.904 0.0 18.677 49.419 0.0
bfs 79.475 0.0 1.818 18.705 0.0
euler3d 99.957 0.0 0.0 0.01 0.03
gaussian 77.788 0.0 16.085 6.126 0.0
heartwall 99.711 0.0 0.0 0.289 0.0
hotspot 83.709 0.0 5.386 10.902 0.0
hybridsort 93.32 0.364 3.344 2.97 0.0
kmeans 79.497 0.0 0.28 20.223 0.0
lavaMD 99.639 0.0 0.134 0.23 0.0
leukocyte 99.861 0.0 0.05 0.08 0.0
lud_cuda 96.105 0.0 2.052 1.845 0.0
needle 35.173 0.0 31.31 33.515 0.0
pfilt_float 99.589 0.04 0.062 0.308 0.0
pfilt_naive 95.114 0.0 1.056 3.83 0.0
pathfinder 19.704 0.0 0.193 80.102 0.0
srad_v2 62.68 0.0 18.124 19.196 0.0
